Site identification,Camera set date-time,Camera check date-time,Lure type,Species common name,Count of individuals,Observation date-time
Identification du Site,Appareil photo – la date et l’heure de l’installation,Appareil photo – la date et l’heure de la vérification,Type d’appât,Nom commun de l’espèce,Nombre d’individus,Date et heure de l’observation
36,21/08/2015 8:00,8/9/2015 16:40,Fish Oil,Black Bear,1,23/08/2015 8:27
36,18/08/2017 8:50,31/08/2017 7:25,Control,Wolf,3,23/08/2017 5:06
36,11/5/2016 16:20,24/05/2016 9:30,Control,Black Bear,1,17/05/2016 15:51
36,11/5/2016 16:20,24/05/2016 9:30,Control,Black Bear,1,17/05/2016 15:58
36,11/5/2016 16:20,24/05/2016 9:30,Control,Black Bear,1,22/05/2016 10:47
37,5/6/2014 11:45,25/06/2014 11:38,Fish Oil,Black Bear,1,21/06/2014 11:45
37,5/6/2014 11:45,25/06/2014 11:38,Fish Oil,Black-tailed Deer,1,15/06/2014 5:14
37,23/07/2014 14:57,7/8/2014 12:30,Control,Black Bear,1,6/8/2014 13:20
37,23/07/2014 14:57,7/8/2014 12:30,Control,Black Bear,1,26/07/2014 5:19
37,3/9/2014 14:50,17/09/2014 10:10,Anis Oil,Black Bear,1,4/9/2014 6:37
37,3/9/2014 14:50,17/09/2014 10:10,Anis Oil,Red Squirrel,1,11/9/2014 8:03
37,9/6/2017 11:20,23/06/2017 11:30,Control,Black Bear,1,15/06/2017 12:26
37,9/6/2017 11:20,23/06/2017 11:30,Control,Raccoon,1,11/6/2017 5:45
37,9/6/2017 11:20,23/06/2017 11:30,Control,Black Bear,1,12/6/2017 15:09
37,20/07/2017 14:00,4/8/2017 11:44,Anis Oil,Black Bear,1,4/8/2017 7:20
37,10/6/2015 10:10,29/06/2015 13:40,Anis Oil,Black Bear,1,24/06/2015 21:14
37,8/7/2016 13:45,19/07/2016 11:15,Control,Black Bear,1,19/07/2016 5:10
37,8/7/2016 13:45,19/07/2016 11:15,Control,Black Bear,1,13/07/2016 19:43
37,8/7/2016 13:45,19/07/2016 14:11,Control,Black Bear,1,16/07/2016 15:25
37,8/7/2016 13:45,19/07/2016 14:11,Control,Black Bear,1,17/07/2016 17:30
37,8/7/2016 13:45,19/07/2016 11:15,Control,Black Bear,1,17/07/2016 16:54
38,25/05/2017 14:35,8/6/2017 9:00,Control,Black Bear,1,2/6/2017 17:51
38,7/7/2016 10:28,19/07/2016 9:50,Control,Wolf,1,17/07/2016 21:34
38,8/7/2016 9:05,19/07/2016 9:50,Control,Black Bear,1,11/7/2016 6:47
38,8/7/2016 9:05,19/07/2016 9:50,Control,Black Bear,1,11/7/2016 6:42
39,21/07/2017 13:00,3/8/2017 9:30,Fish Oil,Black Bear,1,29/07/2017 10:38
39,8/6/2016 11:45,21/06/2016 10:15,Control,Black Bear,1,11/6/2016 16:19
40,7/7/2017 8:25,21/07/2017 8:10,Fish Oil,Black Bear,1,7/7/2017 19:40
40,7/7/2017 8:25,21/07/2017 8:10,Fish Oil,Black-tailed Deer,1,10/7/2017 0:40
40,7/7/2017 8:25,21/07/2017 8:10,Fish Oil,Black Bear,1,12/7/2017 6:43
40,7/8/2015 11:15,20/08/2015 15:10,Control,Black Bear,1,19/08/2015 19:01
40,7/8/2015 11:15,20/08/2015 15:10,Control,Black Bear,1,11/8/2015 4:42
40,7/8/2015 11:15,20/08/2015 15:10,Control,Black Bear,1,10/8/2015 15:09
40,11/5/2015 14:50,27/05/2015 9:25,Anis Oil,Black Bear,1,15/05/2015 18:52
40,11/5/2015 14:50,27/05/2015 9:25,Anis Oil,Black Bear,1,21/05/2015 15:40
40,11/5/2015 14:50,27/05/2015 9:25,Anis Oil,Black Bear,2,12/5/2015 15:46
40,26/05/2017 13:00,8/6/2017 12:30,Control,Wolf,1,28/05/2017 8:24
40,26/05/2017 13:00,8/6/2017 12:30,Control,Black Bear,1,29/05/2017 7:32
40,26/05/2017 13:00,8/6/2017 12:30,Control,Black Bear,1,4/6/2017 11:55
41,20/07/2017 11:15,4/8/2017 15:30,Control,Black Bear,1,30/07/2017 11:36
41,10/5/2016 10:00,24/05/2016 12:00,Control,Wolf,1,22/05/2016 18:58
41,10/5/2016 10:00,24/05/2016 12:00,Control,Wolf,1,10/5/2016 19:40
41,10/5/2016 10:00,24/05/2016 12:00,Control,Red Squirrel,1,22/05/2016 13:38
41,10/5/2016 10:00,24/05/2016 12:00,Control,Wolf,1,22/05/2016 18:37
41,10/5/2016 10:00,24/05/2016 12:00,Control,Wolf,1,14/05/2016 15:59
41,10/5/2016 10:00,24/05/2016 12:00,Control,Wolf,1,21/05/2016 18:42
41,10/5/2016 10:00,24/05/2016 12:00,Control,Wolf,1,22/05/2016 12:15
41,1/9/2017 13:10,14/09/2017 11:20,Anis Oil,Black Bear,1,1/9/2017 18:43
41,1/9/2017 13:10,14/09/2017 11:20,Anis Oil,Black Bear,1,8/9/2017 19:33
42,6/6/2014 10:00,24/06/2014 10:41,Control,Black Bear,1,18/06/2014 8:05
42,24/07/2014 14:23,6/8/2014 10:18,Anis Oil,Black Bear,1,26/07/2014 15:25
42,21/07/2017 13:45,3/8/2017 9:05,Fish Oil,Black Bear,3,25/07/2017 11:23
42,24/07/2015 13:50,6/8/2015 9:50,Control,Black Bear,1,4/8/2015 17:12
42,9/9/2015 13:40,23/09/2015 10:00,Anis Oil,Black Bear,1,11/9/2015 18:41
42,10/5/2016 12:10,24/05/2016 14:05,Control,Black Bear,1,17/05/2016 18:51
42,10/5/2016 12:10,24/05/2016 14:05,Control,Raccoon,1,14/05/2016 21:21
42,10/5/2016 12:10,24/05/2016 14:05,Control,Black Bear,1,17/05/2016 18:43
42,1/9/2017 11:55,14/09/2017 9:30,Anis Oil,Black Bear,1,10/9/2017 13:13
42,10/6/2015 12:15,29/06/2015 10:50,Fish Oil,Wolf,1,14/06/2015 5:13
